Global seed set to 42
Loading dataset from data_1...
Found 10 classes: ['0', '1', '2', '3', '4'] ...
Global seed set to 42
Loading dataset from data_2...
Found 100 classes: ['apple', 'aquarium_fish', 'baby', 'bear', 'beaver'] ...
Dataset loaded: 50000 images in 64.94 seconds.
Dataset loaded: 60000 images in 87.46 seconds.
Training on 48000, Validating on 12000
Training on 40000, Validating on 10000

Epoch 1/100 | Time: 169.8s | Loss: 4.5697 | Train Acc: 1.72%
--- Evaluating on Epoch 1 Val ---

Epoch 1/100 | Time: 223.6s | Loss: 0.8032 | Train Acc: 73.70%
--- Evaluating on Epoch 1 Val ---

Overall Accuracy: 3.55% (355/10000)
Class      Precision  Recall     F1-Score  
12         0.1576     0.2816     0.2021
13         0.1698     0.0882     0.1161
14         0.2545     0.1373     0.1783
15         0.1165     0.1062     0.1111
16         0.2195     0.1034     0.1406
17         0.2850     0.4867     0.3595
18         0.1321     0.1333     0.1327
19         0.1333     0.0594     0.0822
20         0.3739     0.4175     0.3945
21         0.2236     0.3711     0.2791
22         0.1800     0.1895     0.1846
23         0.3611     0.3786     0.3697
24         0.3534     0.4607     0.4000
25         0.1905     0.0494     0.0784
26         0.0595     0.0476     0.0529
27         0.0732     0.0674     0.0702
28         0.5116     0.2292     0.3165
29         0.1538     0.1778     0.1649
30         0.2115     0.4752     0.2927
31         0.1250     0.1562     0.1389
32         0.2000     0.0909     0.1250
33         0.1143     0.1013     0.1074
34         0.1230     0.1429     0.1322
35         0.1269     0.1683     0.1447
36         0.1706     0.4216     0.2429
37         0.1150     0.1171     0.1161
38         0.1161     0.1368     0.1256
39         0.1026     0.0968     0.0996
40         0.2041     0.1163     0.1481
41         0.3413     0.5481     0.4207
42         0.0789     0.0849     0.0818
43         0.1023     0.2340     0.1424
44         0.0667     0.0101     0.0175
45         0.1111     0.0814     0.0940
46         0.0783     0.1461     0.1020
47         0.5224     0.3211     0.3977
48         0.1396     0.3700     0.2027
49         0.2400     0.4660     0.3168
50         0.0000     0.0000     0.0000
51         0.2283     0.2211     0.2246
52         0.3092     0.8021     0.4464
53         0.3239     0.5938     0.4191
54         0.3387     0.3684     0.3529
55         0.0000     0.0000     0.0000
56         0.2870     0.3444     0.3131
57         0.2358     0.2451     0.2404
58         0.2544     0.2710     0.2624
59         0.3684     0.1239     0.1854
60         0.8358     0.5138     0.6364
61         0.1695     0.3371     0.2256
62         0.3617     0.3301     0.3452
63         0.3409     0.1442     0.2027
64         0.1010     0.0926     0.0966
65         0.0435     0.0202     0.0276
66         0.1429     0.0220     0.0381
67         0.2195     0.1011     0.1385
68         0.3456     0.6944     0.4615
69         0.3388     0.4409     0.3832
70         0.4524     0.1712     0.2484
71         0.4433     0.4674     0.4550
72         0.0417     0.0093     0.0152
73         0.5273     0.2500     0.3392
74         0.0728     0.1028     0.0853
75         0.3267     0.4414     0.3755
76         0.2661     0.3511     0.3028
77         0.0920     0.0800     0.0856
78         0.1127     0.0833     0.0958
79         0.2381     0.0510     0.0840
80         0.0851     0.0357     0.0503
81         0.1282     0.2041     0.1575
82         0.5395     0.4409     0.4852
83         0.2188     0.1296     0.1628
84         0.0476     0.0093     0.0155
85         0.2342     0.3491     0.2803
86         0.2249     0.3423     0.2714
87         0.1183     0.1279     0.1229
88         0.1746     0.1048     0.1310
89         0.2315     0.2358     0.2336
90         0.2121     0.0625     0.0966
91         0.2010     0.4348     0.2749
92         0.0000     0.0000     0.0000
93         0.1566     0.1287     0.1413
94         0.5714     0.4211     0.4848
95         0.4318     0.1959     0.2695
96         0.2571     0.2250     0.2400
97         0.1096     0.2991     0.1604
98         0.1441     0.1839     0.1616
99         0.0938     0.0286     0.0438
----------------------------------------
Macro Avg  0.2141     0.2182     0.1998

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 11/100 | Time: 254.0s | Loss: 0.0937 | Train Acc: 97.03%
--- Evaluating on Epoch 11 Val ---

Epoch 13/100 | Time: 208.9s | Loss: 3.1766 | Train Acc: 23.02%
--- Evaluating on Epoch 13 Val ---

Overall Accuracy: 22.17% (2217/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.4923     0.3596     0.4156
1          0.2025     0.3441     0.2550
2          0.1667     0.0860     0.1135
3          0.0895     0.1910     0.1219
4          0.3333     0.0606     0.1026
5          0.2113     0.1415     0.1695
6          0.2623     0.1584     0.1975
7          0.2000     0.1979     0.1990
8          0.1806     0.2796     0.2194
9          0.3299     0.3556     0.3422
10         0.0556     0.0099     0.0168
11         0.2222     0.0167     0.0310
12         0.2083     0.2427     0.2242
13         0.0959     0.1373     0.1129
14         0.2031     0.1275     0.1566
15         0.2619     0.0973     0.1419
16         0.2333     0.0805     0.1197
17         0.3366     0.3009     0.3178
18         0.1156     0.2190     0.1513
19         0.1692     0.1089     0.1325
20         0.3774     0.3883     0.3828
21         0.3898     0.2371     0.2949
22         0.2895     0.1158     0.1654
23         0.3626     0.3204     0.3402
24         0.2908     0.4607     0.3565
25         0.1250     0.0864     0.1022
26         0.0526     0.0095     0.0161
27         0.1279     0.1236     0.1257
28         0.2151     0.3854     0.2761
29         0.1049     0.1667     0.1288
30         0.2329     0.1683     0.1954
31         0.2500     0.1354     0.1757
32         0.2364     0.1313     0.1688
33         0.0637     0.1266     0.0847
34         0.1667     0.0952     0.1212
35         0.1509     0.0792     0.1039
36         0.1872     0.3725     0.2492
37         0.1442     0.1351     0.1395
38         0.2500     0.1158     0.1583
39         0.1250     0.0887     0.1038
40         0.1458     0.0814     0.1045
41         0.5778     0.5000     0.5361
42         0.0541     0.0377     0.0444
43         0.1124     0.3191     0.1662
44         0.1111     0.0202     0.0342
45         0.1429     0.0116     0.0215
46         0.1515     0.0562     0.0820
47         0.4935     0.3486     0.4086
48         0.1659     0.3400     0.2230
49         0.2276     0.5437     0.3209
50         0.0625     0.0098     0.0169
51         0.1445     0.2632     0.1866
52         0.4110     0.6979     0.5174
53         0.3457     0.5833     0.4341
54         0.3228     0.3596     0.3402
55         0.0323     0.0215     0.0258
56         0.2561     0.2333     0.2442
57         0.1737     0.3235     0.2260
58         0.2083     0.3738     0.2676
59         0.2742     0.1504     0.1943
60         0.6990     0.6606     0.6792
61         0.1923     0.3371     0.2449
62         0.2697     0.3981     0.3216
63         0.2807     0.1538     0.1988
64         0.0250     0.0093     0.0135
65         0.0256     0.0101     0.0145
66         0.0579     0.1209     0.0783
67         0.1818     0.0449     0.0721
68         0.4145     0.5833     0.4846
69         0.4091     0.4839     0.4433
70         0.3580     0.2613     0.3021
71         0.4483     0.2826     0.3467
72         0.2105     0.0370     0.0630
73         0.4719     0.3621     0.4098
74         0.1190     0.0467     0.0671
75         0.2302     0.5225     0.3196
76         0.2667     0.3404     0.2991
77         0.1111     0.0900     0.0994
78         0.1143     0.0417     0.0611
79         0.3529     0.0612     0.1043
80         0.0625     0.0179     0.0278
81         0.1176     0.0408     0.0606
82         0.3917     0.5054     0.4413
83         0.2679     0.1389     0.1829
84         0.0357     0.0093     0.0147
85         0.2733     0.3868     0.3203
86         0.3431     0.3153     0.3286
87         0.1124     0.2209     0.1490
88         0.1206     0.1619     0.1382
89         0.2857     0.2075     0.2404
90         0.2000     0.0714     0.1053
91         0.2375     0.4130     0.3016
92         0.0843     0.0667     0.0745
93         0.1915     0.0891     0.1216
94         0.5102     0.4386     0.4717
95         0.2325     0.5464     0.3262
96         0.2276     0.4125     0.2933
97         0.1842     0.2617     0.2162
98         0.0909     0.4713     0.1524
99         0.1892     0.0667     0.0986
----------------------------------------
Macro Avg  0.2232     0.2222     0.2031

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Overall Accuracy: 95.77% (11492/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9597     0.9790     0.9693
1          0.9860     0.9787     0.9823
2          0.9708     0.9408     0.9555
3          0.9318     0.9631     0.9472
4          0.9508     0.9645     0.9576
5          0.9318     0.9737     0.9523
6          0.9914     0.9469     0.9686
7          0.9555     0.9606     0.9580
8          0.9462     0.9453     0.9457
9          0.9503     0.9222     0.9360
----------------------------------------
Macro Avg  0.9574     0.9575     0.9573

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 14/100 | Time: 256.4s | Loss: 3.1312 | Train Acc: 23.93%
--- Evaluating on Epoch 14 Val ---

Overall Accuracy: 22.58% (2258/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.4505     0.4607     0.4556
1          0.2568     0.2043     0.2275
2          0.0741     0.0430     0.0544
3          0.1364     0.0337     0.0541
4          0.1961     0.1010     0.1333
5          0.2024     0.1604     0.1789
6          0.2500     0.1980     0.2210
7          0.2333     0.1458     0.1795
8          0.1286     0.3333     0.1856
9          0.3229     0.3444     0.3333
10         0.0595     0.0495     0.0541
11         0.2353     0.0333     0.0584
12         0.2338     0.1748     0.2000
13         0.1765     0.1765     0.1765
14         0.4583     0.1078     0.1746
15         0.1416     0.1416     0.1416
16         0.2439     0.1149     0.1562
17         0.2908     0.5044     0.3689
18         0.1587     0.0952     0.1190
19         0.1000     0.2277     0.1390
20         0.2321     0.5340     0.3235
21         0.3176     0.2784     0.2967
22         0.1481     0.0842     0.1074
23         0.2877     0.6117     0.3913
24         0.2193     0.6629     0.3296
25         0.0746     0.1235     0.0930
26         0.0877     0.0476     0.0617
27         0.0736     0.3034     0.1184
28         0.5217     0.2500     0.3380
29         0.2326     0.1111     0.1504
30         0.2680     0.4059     0.3228
31         0.1406     0.2812     0.1875
32         0.3784     0.1414     0.2059
33         0.0829     0.2152     0.1197
34         0.1304     0.0857     0.1034
35         0.1579     0.1782     0.1674
36         0.2077     0.4216     0.2783
37         0.1406     0.1622     0.1506
38         0.1120     0.1474     0.1273
39         0.1579     0.0484     0.0741
40         0.2609     0.0698     0.1101
41         0.5854     0.4615     0.5161
42         0.0759     0.0566     0.0649
43         0.1111     0.2447     0.1528
44         0.1091     0.1212     0.1148
45         0.3000     0.0349     0.0625
46         0.1800     0.1011     0.1295
47         0.5244     0.3945     0.4503
48         0.2174     0.3500     0.2682
49         0.3902     0.3107     0.3459
50         0.0208     0.0098     0.0133
51         0.1410     0.3474     0.2006
52         0.4710     0.6771     0.5556
53         0.3622     0.4792     0.4126
54         0.3028     0.3772     0.3359
55         0.1000     0.0108     0.0194
56         0.3140     0.3000     0.3068
57         0.1917     0.2255     0.2072
58         0.2353     0.2617     0.2478
59         0.2661     0.2566     0.2613
60         0.5338     0.7248     0.6148
61         0.2260     0.3708     0.2809
62         0.3300     0.3204     0.3251
63         0.3256     0.1346     0.1905
64         0.0842     0.0741     0.0788
65         0.0508     0.0303     0.0380
66         0.0807     0.1429     0.1032
67         0.1667     0.3146     0.2179
68         0.3743     0.5926     0.4588
69         0.3214     0.4839     0.3863
70         0.2704     0.3874     0.3185
71         0.4688     0.4891     0.4787
72         0.1220     0.0463     0.0671
73         0.4464     0.2155     0.2907
74         0.0556     0.0093     0.0160
75         0.3456     0.4234     0.3806
76         0.3553     0.2872     0.3176
77         0.1250     0.0900     0.1047
78         0.1190     0.0521     0.0725
79         0.1250     0.0408     0.0615
80         0.0556     0.0089     0.0154
81         0.1905     0.0816     0.1143
82         0.5692     0.3978     0.4684
83         0.3913     0.0833     0.1374
84         0.0571     0.0185     0.0280
85         0.3000     0.2830     0.2913
86         0.3191     0.2703     0.2927
87         0.1507     0.1279     0.1384
88         0.1181     0.1429     0.1293
89         0.2976     0.2358     0.2632
90         0.2424     0.0714     0.1103
91         0.2991     0.3478     0.3216
92         0.2174     0.0476     0.0781
93         0.2857     0.0990     0.1471
94         0.3247     0.5526     0.4091
95         0.5484     0.1753     0.2656
96         0.3191     0.1875     0.2362
97         0.1116     0.2430     0.1529
98         0.1698     0.1034     0.1286
99         0.1538     0.0381     0.0611
----------------------------------------
Macro Avg  0.2353     0.2258     0.2093

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 12/100 | Time: 317.1s | Loss: 0.0890 | Train Acc: 97.14%
--- Evaluating on Epoch 12 Val ---

Overall Accuracy: 95.90% (11508/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9550     0.9834     0.9690
1          0.9752     0.9817     0.9784
2          0.9541     0.9549     0.9545
3          0.9593     0.9475     0.9534
4          0.9510     0.9687     0.9598
5          0.9543     0.9597     0.9570
6          0.9786     0.9738     0.9762
7          0.9735     0.9477     0.9604
8          0.9336     0.9479     0.9407
9          0.9503     0.9230     0.9365
----------------------------------------
Macro Avg  0.9585     0.9588     0.9586

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 15/100 | Time: 208.2s | Loss: 3.0914 | Train Acc: 24.69%
--- Evaluating on Epoch 15 Val ---

Overall Accuracy: 22.81% (2281/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.4512     0.4157     0.4327
1          0.2083     0.1613     0.1818
2          0.1200     0.0968     0.1071
3          0.0690     0.0225     0.0339
4          0.2857     0.0404     0.0708
5          0.1899     0.1415     0.1622
6          0.1498     0.3069     0.2013
7          0.1579     0.1875     0.1714
8          0.1632     0.3333     0.2191
9          0.3605     0.3444     0.3523
10         0.1923     0.0495     0.0787
11         0.3077     0.0333     0.0602
12         0.2038     0.3107     0.2462
13         0.1194     0.1569     0.1356
14         0.1587     0.2941     0.2062
15         0.2258     0.0619     0.0972
16         0.1447     0.1264     0.1350
17         0.3793     0.3894     0.3843
18         0.1250     0.1619     0.1411
19         0.1311     0.0792     0.0988
20         0.2802     0.4951     0.3579
21         0.1862     0.4742     0.2674
22         0.2391     0.1158     0.1560
23         0.5254     0.3010     0.3827
24         0.3197     0.5281     0.3983
25         0.1228     0.1728     0.1436
26         0.0909     0.0190     0.0315
27         0.0928     0.1011     0.0968
28         0.4306     0.3229     0.3690
29         0.2903     0.1000     0.1488
30         0.2778     0.1485     0.1935
31         0.1500     0.1875     0.1667
32         0.2759     0.1616     0.2038
33         0.1005     0.2658     0.1458
34         0.1622     0.0571     0.0845
35         0.2195     0.0891     0.1268
36         0.2979     0.2745     0.2857
37         0.1765     0.0541     0.0828
38         0.3600     0.0947     0.1500
39         0.1170     0.1613     0.1356
40         0.1121     0.1395     0.1244
41         0.4252     0.5192     0.4675
42         0.0929     0.1226     0.1057
43         0.1111     0.2447     0.1528
44         0.1228     0.0707     0.0897
45         0.1103     0.1744     0.1351
46         0.1695     0.1124     0.1351
47         0.4653     0.4312     0.4476
48         0.1674     0.4000     0.2360
49         0.4342     0.3204     0.3687
50         0.2000     0.0098     0.0187
51         0.1905     0.2105     0.2000
52         0.5172     0.6250     0.5660
53         0.3065     0.5938     0.4043
54         0.2679     0.3947     0.3191
55         0.2500     0.0108     0.0206
56         0.3474     0.3667     0.3568
57         0.2708     0.2549     0.2626
58         0.1695     0.2804     0.2113
59         0.2683     0.1947     0.2256
60         0.6847     0.6972     0.6909
61         0.2871     0.3258     0.3053
62         0.3190     0.3592     0.3379
63         0.2234     0.2019     0.2121
64         0.0000     0.0000     0.0000
65         0.1143     0.0404     0.0597
66         0.0610     0.2308     0.0966
67         0.1875     0.0337     0.0571
68         0.6076     0.4444     0.5134
69         0.4433     0.4624     0.4526
70         0.3913     0.0811     0.1343
71         0.4423     0.5000     0.4694
72         0.1667     0.0278     0.0476
73         0.4234     0.4052     0.4141
74         0.0893     0.1402     0.1091
75         0.3105     0.5315     0.3920
76         0.4333     0.2766     0.3377
77         0.0926     0.0500     0.0649
78         0.0364     0.0208     0.0265
79         0.1299     0.1020     0.1143
80         0.3333     0.0089     0.0174
81         0.1892     0.0714     0.1037
82         0.4412     0.4839     0.4615
83         0.2170     0.2130     0.2150
84         0.0808     0.0741     0.0773
85         0.2308     0.4528     0.3057
86         0.4030     0.2432     0.3034
87         0.1573     0.1628     0.1600
88         0.1333     0.1714     0.1500
89         0.2326     0.2830     0.2553
90         0.2500     0.0268     0.0484
91         0.3699     0.2935     0.3273
92         0.1489     0.0667     0.0921
93         0.3750     0.0594     0.1026
94         0.2236     0.6140     0.3279
95         0.2600     0.5361     0.3502
96         0.2903     0.2250     0.2535
97         0.1414     0.2523     0.1812
98         0.1410     0.2529     0.1811
99         0.1364     0.0857     0.1053
----------------------------------------
Macro Avg  0.2406     0.2282     0.2115

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 13/100 | Time: 247.4s | Loss: 0.0833 | Train Acc: 97.29%
--- Evaluating on Epoch 13 Val ---

Overall Accuracy: 96.07% (11528/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9695     0.9729     0.9712
1          0.9831     0.9824     0.9828
2          0.9527     0.9611     0.9569
3          0.9641     0.9467     0.9553
4          0.9382     0.9755     0.9564
5          0.9676     0.9540     0.9608
6          0.9686     0.9845     0.9765
7          0.9773     0.9477     0.9623
8          0.9369     0.9513     0.9441
9          0.9449     0.9281     0.9364
----------------------------------------
Macro Avg  0.9603     0.9604     0.9603

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 16/100 | Time: 213.8s | Loss: 3.0562 | Train Acc: 25.32%
--- Evaluating on Epoch 16 Val ---

Overall Accuracy: 23.35% (2335/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.3082     0.5056     0.3830
1          0.2718     0.3011     0.2857
2          0.1037     0.1828     0.1323
3          0.0364     0.0225     0.0278
4          0.2286     0.0808     0.1194
5          0.2745     0.1321     0.1783
6          0.1842     0.2079     0.1953
7          0.2857     0.1875     0.2264
8          0.2015     0.2903     0.2379
9          0.2587     0.4111     0.3176
10         0.1207     0.0693     0.0881
11         0.2254     0.1333     0.1675
12         0.2344     0.1456     0.1796
13         0.1702     0.0784     0.1074
14         0.2857     0.1961     0.2326
15         0.1370     0.0885     0.1075
16         0.2500     0.0690     0.1081
17         0.3464     0.5487     0.4247
18         0.1111     0.0381     0.0567
19         0.3750     0.0297     0.0550
20         0.4083     0.4757     0.4395
21         0.2410     0.4845     0.3219
22         0.1702     0.1684     0.1693
23         0.3571     0.2427     0.2890
24         0.3936     0.4157     0.4044
25         0.3810     0.0988     0.1569
26         0.1034     0.1143     0.1086
27         0.1287     0.1461     0.1368
28         0.4030     0.2812     0.3313
29         0.2182     0.1333     0.1655
30         0.2327     0.3663     0.2846
31         0.1170     0.4167     0.1826
32         0.3333     0.1313     0.1884
33         0.1818     0.2025     0.1916
34         0.0526     0.0095     0.0161
35         0.1258     0.1881     0.1508
36         0.1772     0.4412     0.2528
37         0.1557     0.2342     0.1871
38         0.1141     0.2211     0.1505
39         0.1744     0.1210     0.1429
40         0.1754     0.1163     0.1399
41         0.3750     0.5192     0.4355
42         0.1017     0.1132     0.1071
43         0.1122     0.3511     0.1701
44         0.1250     0.0303     0.0488
45         0.1389     0.0581     0.0820
46         0.1639     0.1124     0.1333
47         0.5000     0.3761     0.4293
48         0.4028     0.2900     0.3372
49         0.4340     0.2233     0.2949
50         0.0952     0.0196     0.0325
51         0.1733     0.2737     0.2122
52         0.4961     0.6562     0.5650
53         0.4588     0.4062     0.4309
54         0.2857     0.3158     0.3000
55         0.1250     0.0430     0.0640
56         0.3563     0.3444     0.3503
57         0.2243     0.2353     0.2297
58         0.2400     0.2804     0.2586
59         0.3333     0.1947     0.2458
60         0.7701     0.6147     0.6837
61         0.2627     0.3483     0.2995
62         0.3750     0.1165     0.1778
63         0.2286     0.2308     0.2297
64         0.0465     0.0185     0.0265
65         0.0435     0.0101     0.0164
66         0.0711     0.1538     0.0972
67         0.2459     0.1685     0.2000
68         0.6582     0.4815     0.5561
69         0.2427     0.6237     0.3494
70         0.3148     0.1532     0.2061
71         0.5106     0.5217     0.5161
72         0.2500     0.0093     0.0179
73         0.4815     0.3362     0.3959
74         0.1259     0.1589     0.1405
75         0.3232     0.4775     0.3855
76         0.2068     0.5213     0.2961
77         0.1077     0.1400     0.1217
78         0.0920     0.0833     0.0874
79         0.0968     0.2143     0.1333
80         0.0556     0.0179     0.0270
81         0.2973     0.1122     0.1630
82         0.5301     0.4731     0.5000
83         0.2642     0.1296     0.1739
84         0.1481     0.0370     0.0593
85         0.2567     0.4528     0.3276
86         0.2381     0.4505     0.3115
87         0.1392     0.1279     0.1333
88         0.1750     0.0667     0.0966
89         0.3390     0.1887     0.2424
90         0.2500     0.0804     0.1216
91         0.4800     0.2609     0.3380
92         0.1569     0.2286     0.1860
93         0.2703     0.0990     0.1449
94         0.5816     0.5000     0.5377
95         0.3731     0.2577     0.3049
96         0.3049     0.3125     0.3086
97         0.1075     0.3738     0.1670
98         0.1524     0.1839     0.1667
99         0.0933     0.0667     0.0778
----------------------------------------
Macro Avg  0.2486     0.2337     0.2209

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 14/100 | Time: 257.8s | Loss: 0.0791 | Train Acc: 97.48%
--- Evaluating on Epoch 14 Val ---

Overall Accuracy: 95.75% (11490/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9770     0.9659     0.9714
1          0.9731     0.9824     0.9777
2          0.9215     0.9752     0.9476
3          0.9244     0.9721     0.9477
4          0.9764     0.9459     0.9609
5          0.9526     0.9615     0.9570
6          0.9699     0.9763     0.9731
7          0.9810     0.9416     0.9609
8          0.9511     0.9308     0.9409
9          0.9470     0.9213     0.9340
----------------------------------------
Macro Avg  0.9574     0.9573     0.9571


Epoch 17/100 | Time: 221.0s | Loss: 3.0223 | Train Acc: 26.03%
--- Evaluating on Epoch 17 Val ---

Overall Accuracy: 22.06% (2206/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.2488     0.6067     0.3529
1          0.1675     0.3656     0.2297
2          0.1837     0.0968     0.1268
3          0.0920     0.0899     0.0909
4          0.1481     0.0404     0.0635
5          0.2500     0.1038     0.1467
6          0.1800     0.0891     0.1192
7          0.1684     0.3438     0.2260
8          0.2778     0.2151     0.2424
9          0.3704     0.3333     0.3509
10         0.1549     0.1089     0.1279
11         0.1970     0.1083     0.1398
12         0.1236     0.1068     0.1146
13         0.1196     0.2157     0.1538
14         0.1236     0.3235     0.1789
15         0.3889     0.0619     0.1069
16         0.1068     0.1264     0.1158
17         0.3933     0.3097     0.3465
18         0.1263     0.1143     0.1200
19         0.1707     0.1386     0.1530
20         0.5926     0.3107     0.4076
21         0.2710     0.2990     0.2843
22         0.1781     0.1368     0.1548
23         0.3485     0.4466     0.3915
24         0.3091     0.5730     0.4016
25         0.2903     0.1111     0.1607
26         0.0000     0.0000     0.0000
27         0.1266     0.1124     0.1190
28         0.3256     0.2917     0.3077
29         0.1667     0.0778     0.1061
30         0.1809     0.1683     0.1744
31         0.2667     0.0833     0.1270
32         0.2679     0.1515     0.1935
33         0.0452     0.0886     0.0598
34         0.3684     0.0667     0.1129
35         0.1169     0.0891     0.1011
36         0.3878     0.1863     0.2517
37         0.1250     0.0360     0.0559
38         0.2000     0.0842     0.1185
39         0.2667     0.0645     0.1039
40         0.1000     0.1628     0.1239
41         0.3121     0.4712     0.3755
42         0.1176     0.0377     0.0571
43         0.1688     0.1383     0.1520
44         0.1690     0.1212     0.1412
45         0.4444     0.0465     0.0842
46         0.2188     0.0787     0.1157
47         0.4731     0.4037     0.4356
48         0.2131     0.2600     0.2342
49         0.2889     0.2524     0.2694
50         0.5000     0.0196     0.0377
51         0.1833     0.1158     0.1419
52         0.3645     0.7708     0.4950
53         0.3790     0.4896     0.4273
54         0.2439     0.3509     0.2878
55         0.0000     0.0000     0.0000
56         0.1212     0.3556     0.1808
57         0.1722     0.2549     0.2055
58         0.2460     0.2897     0.2661
59         0.1448     0.2832     0.1916
60         0.6355     0.6239     0.6296
61         0.1759     0.4270     0.2492
62         0.3178     0.3981     0.3534
63         0.1735     0.3269     0.2267
64         0.0943     0.0463     0.0621
65         0.0741     0.0606     0.0667
66         0.1429     0.0769     0.1000
67         0.1159     0.3034     0.1677
68         0.4125     0.6111     0.4925
69         0.3913     0.2903     0.3333
70         0.3333     0.1441     0.2013
71         0.2763     0.6848     0.3938
72         0.1193     0.1204     0.1198
73         0.2781     0.4483     0.3432
74         0.2059     0.0654     0.0993
75         0.3551     0.4414     0.3936
76         0.2154     0.4468     0.2907
77         0.0877     0.0500     0.0637
78         0.2500     0.0208     0.0385
79         0.2188     0.0714     0.1077
80         0.2143     0.0268     0.0476
81         0.1429     0.1327     0.1376
82         0.3214     0.5806     0.4138
83         0.2234     0.1944     0.2079
84         0.0870     0.0185     0.0305
85         0.2059     0.3302     0.2536
86         0.5946     0.1982     0.2973
87         0.1333     0.1860     0.1553
88         0.1478     0.1619     0.1545
89         0.2500     0.1509     0.1882
90         0.1304     0.0536     0.0759
91         0.2952     0.3370     0.3147
92         0.1186     0.0667     0.0854
93         0.1047     0.1980     0.1370
94         0.3931     0.5000     0.4402
95         0.1751     0.5361     0.2640
96         0.1622     0.3000     0.2105
97         0.2340     0.1028     0.1429
98         0.1735     0.1954     0.1838
99         0.1667     0.0476     0.0741
----------------------------------------
Macro Avg  0.2283     0.2215     0.1991


Epoch 15/100 | Time: 264.9s | Loss: 0.0738 | Train Acc: 97.66%
--- Evaluating on Epoch 15 Val ---

Overall Accuracy: 96.17% (11541/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9590     0.9825     0.9706
1          0.9725     0.9853     0.9789
2          0.9527     0.9611     0.9569
3          0.9592     0.9623     0.9607
4          0.9780     0.9408     0.9590
5          0.9705     0.9578     0.9641
6          0.9817     0.9673     0.9745
7          0.9616     0.9674     0.9645
8          0.9327     0.9582     0.9452
9          0.9491     0.9306     0.9398
----------------------------------------
Macro Avg  0.9617     0.9613     0.9614

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 18/100 | Time: 224.0s | Loss: 2.9891 | Train Acc: 26.57%
--- Evaluating on Epoch 18 Val ---

Overall Accuracy: 23.86% (2386/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.3092     0.5281     0.3900
1          0.3059     0.2796     0.2921
2          0.1064     0.1075     0.1070
3          0.0463     0.0562     0.0508
4          0.1000     0.0909     0.0952
5          0.1392     0.2075     0.1667
6          0.2353     0.1584     0.1893
7          0.3500     0.1458     0.2059
8          0.2985     0.2151     0.2500
9          0.7368     0.3111     0.4375
10         0.1190     0.0495     0.0699
11         0.1750     0.1167     0.1400
12         0.2903     0.1748     0.2182
13         0.1828     0.1667     0.1744
14         0.2840     0.2255     0.2514
15         0.2500     0.1062     0.1491
16         0.1714     0.1379     0.1529
17         0.3696     0.4513     0.4064
18         0.1489     0.0667     0.0921
19         0.2241     0.1287     0.1635
20         0.3846     0.4854     0.4292
21         0.1726     0.5979     0.2679
22         0.2564     0.1053     0.1493
23         0.2812     0.5243     0.3661
24         0.2511     0.6180     0.3571
25         0.1075     0.1235     0.1149
26         0.1029     0.0667     0.0809
27         0.0880     0.2135     0.1246
28         0.5370     0.3021     0.3867
29         0.1702     0.1778     0.1739
30         0.3012     0.2475     0.2717
31         0.1111     0.3750     0.1714
32         0.4167     0.1515     0.2222
33         0.1429     0.1772     0.1582
34         0.1508     0.1810     0.1645
35         0.0971     0.0990     0.0980
36         0.3000     0.2647     0.2812
37         0.1538     0.1802     0.1660
38         0.1875     0.1263     0.1509
39         0.1634     0.2016     0.1805
40         0.2203     0.1512     0.1793
41         0.4312     0.4519     0.4413
42         0.1184     0.0849     0.0989
43         0.1778     0.1702     0.1739
44         0.1042     0.0505     0.0680
45         0.2174     0.0581     0.0917
46         0.0747     0.1461     0.0989
47         0.3333     0.4220     0.3725
48         0.2650     0.3100     0.2857
49         0.3906     0.2427     0.2994
50         0.2143     0.0294     0.0517
51         0.2056     0.2316     0.2178
52         0.4651     0.6250     0.5333
53         0.4651     0.4167     0.4396
